"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT07","WT08"
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-16","5.14",,"0.00","0.0","0.0","61","72","48","   90","  110","12.1","15.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-17","5.37",,"0.00","0.0","0.0","62","75","51","  280","  290","10.1","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-18","4.70",,"0.00","0.0","0.0","63","77","51","  120","  130","10.1","14.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-19","5.82",,"0.00","0.0","0.0","65","80","54","  180","  170","13.0","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-20","6.26",,"0.00","0.0","0.0","67","82","53","  120","  160","13.0","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-21","7.83",,"0.00","0.0","0.0","67","76","56","  280","  300","17.0","28.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-22","4.03",,"0.00","0.0","0.0","64","76","54","  230","  310","12.1","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-23","3.13",,"0.00","0.0","0.0","66","81","53","   70","   70","13.0","19.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-24","4.25",,"0.00","0.0","0.0","67","78","58","  130","  110","10.1","13.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-25","4.70",,"0.00","0.0","0.0","69","84","59","  120","  110","13.0","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-26","3.80",,"0.00","0.0","0.0","71","76","63","  160","  150","10.1","14.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-27","5.14",,"0.00","0.0","0.0","68","76","57","  230","  250","16.1","23.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-28","7.61",,"0.00","0.0","0.0","67","80","55","  160","  150","25.9","35.1",,,"    1",
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-29","5.82",,"0.00","0.0","0.0","63","76","54","  220","  200","12.1","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-01","6.93",,"0.00","0.0","0.0","66","80","55","  160","  150","14.1","18.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-02","8.05",,"0.00","0.0","0.0","67","80","53","  230","  220","21.0","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-03","5.37",,"0.00","0.0","0.0","66","74","54","  230","  280","17.0","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-04","5.14",,"0.00","0.0","0.0","63","75","53","  290","  280","17.0","23.9",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-05","4.47",,"0.00","0.0","0.0","63","77","53","   80","  160","12.1","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-06","4.92",,"0.00","0.0","0.0","66","76","57","  180","  180","14.1","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-07","7.83",,"0.20","0.0","0.0","61","65","53","  340","  360","23.0","32.0",,"    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-08","4.03",,"0.05","0.0","0.0","58","71","53","   60","   50","16.1","19.9",,"    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-09","6.71",,"0.00","0.0","0.0","62","76","51","  100","  150","13.0","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-10","5.14",,"0.00","0.0","0.0","67","81","53","   80","  130","16.1","21.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-11","5.59",,"0.00","0.0","0.0","68","82","57","  270","  330","15.0","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-12","5.82",,"0.00","0.0","0.0","68","78","55","  280","  280","16.1","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-13","8.50",,"0.00","0.0","0.0","66","77","54","  270","  270","23.9","32.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-14","6.04",,"0.01","0.0","0.0","64","73","54","  310","  290","23.9","31.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-15","7.83",,"0.18","0.0","0.0","59","63","50","  260","  280","18.1","25.9",,"    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-16","4.70",,"0.00","0.0","0.0","54","69","46","  150","  140","15.0","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-17","6.49",,"0.01","0.0","0.0","59","69","52","   20","   10","23.9","36.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-18","6.04",,"0.00","0.0","0.0","62","81","51","   80","   80","28.0","34.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-19","4.92",,"0.00","0.0","0.0","65","80","54","   20","   20","21.9","36.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-20","5.82",,"0.02","0.0","0.0","66","80","54","  360","  360","29.1","38.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-21","5.59",,"0.00","0.0","0.0","69","83","56","  280","  310","21.0","33.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-22","5.14",,"0.00","0.0","0.0","72","86","60","  180","  300","12.1","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-23","9.40",,"0.00","0.0","0.0","73","83","62","  280","  240","25.1","32.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-24","12.97",,"0.37","0.0","0.0","64","67","53","  270","  270","25.9","35.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-25","8.50",,"0.00","0.0","0.0","58","71","49","  240","  310","25.9","40.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-26","9.40",,"0.00","0.0","0.0","63","73","55","   20","   30","29.1","40.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-27","6.71",,"0.00","0.0","0.0","61","78","51","   80","   80","16.1","18.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-28","5.82",,"0.00","0.0","0.0","68","82","55","   80","   90","12.1","15.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-29","6.93",,"0.00","0.0","0.0","71","86","56","  270","  230","18.1","23.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-30",,,"0.00","0.0",,"74","87","59",,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-03-31","8.72",,"0.50","0.0",,"61","65","51","  280","  280","29.1","32.0","    1","    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-01","5.59",,"0.40","0.0","0.0","55","64","49","  240","  240","23.0","34.0","    1",,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-02","5.37",,"0.00","0.0","0.0","60","76","51","  270","  270","14.1","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-03","4.92",,"0.00","0.0","0.0","68","83","56","   80","   60","12.1","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-04","7.83",,"0.00","0.0","0.0","72","89","59","  220","  210","17.0","23.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-05","14.99",,"0.00","0.0","0.0","71","72","56","  270","  270","32.0","40.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-06","7.83"," 0147","0.00","0.0","0.0","58","68","49","  270","  270","23.9","32.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-07","5.14",,"0.00","0.0","0.0","62","76","50","  260","  310","13.0","18.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-08","6.71",,"0.00","0.0","0.0","66","76","55","  270","  270","23.0","31.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-09","6.93",,"0.00","0.0","0.0","68","85","55","  270","  260","18.1","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-10","4.92",,"0.00","0.0","0.0","73","87","57","  270","  290","12.1","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-11","5.82",,"0.00","0.0","0.0","77","94","62","   70","   70","15.0","19.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-12","9.62",,"0.00","0.0","0.0","81","95","65","  170","  180","21.9","34.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-13","8.28",,"0.00","0.0","0.0","78","90","64","  160","  180","18.1","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-14","8.28",,"0.00","0.0","0.0","75","84","60","  280","  280","25.1","31.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-15","6.93",,"0.00","0.0","0.0","69","77","58","  270","  270","21.9","25.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-04-16","5.82",,"0.00","0.0","0.0","71","88","59","  290","  320","16.1","23.9",,,,
